# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/model/CheckKind.java
# format: variable|api|description

RareInformationChangeHour|{RelatedAccount|情報更新時の時刻履歴から外れ値となる更新の時刻の場合を検知する。過去の実績含め、10%以下の時間帯（1時間単位）での時間帯の場合に検知
RarePriorityLanguage|All|過去の実績含め、今回アクセスの言語が本人にとって割合で10%を下回る場合に検知
RareRemittee|Withdrawal|過去の実績含め、仕向先が10％以下の場合に検知
RareRemitter|Deposit|過去の実績含め、仕向元が10％以下の場合に検知
RareTerminal|All|過去の実績含め、今回アクセスの端末が本人にとって割合で10%を下回る場合に検知
RareTransactionHour|{Deposit|入出金の時刻履歴から外れ値となる入出金の時刻の場合を検知する。過去の実績含め、10%以下の時間帯（1時間単位）での入出金の場合を検知
RareUserAgent|All|過去の実績含め、今回アクセスのユーザーエージェントが本人にとって割合で10%を下回る場合に検知
RemitterNameChanged|Withdrawal|仕向元口座名義人名と振込依頼人名が違う場合に検知(ただし口座名義人名と同じ苗字が振込依頼人名に含まれている場合は除外）
SmallToLargeAmount|Withdrawal|10000円未満の少額での送金を行なったあと、同じ振込元口座と振込先口座の組み合わせで6時間以内に99000円以上の高額送金を行う場合に検知
TorNode|All|TOR経由アクセスを検知
TransitionIPAddress|All|今回アクセスのIPアドレスが前回本人アクセス時と異なる場合に検知
TransitionPriorityLanguage|All|今回アクセスの言語が前回本人アクセス時と異なる場合に検知
TransitionRemittee|Withdrawal|仕向先が前回と変更された場合に検知
TransitionRemitter|Deposit|仕向元が前回と変更された場合に検知
TransitionTerminal|All|今回アクセスの端末が前回本人アクセス時と異なる場合に検知
TransitionUserAgent|All|今回アクセスのユーザーエージェントが前回本人アクセス時と異なる場合に検知
UnknownUsingEmulator|All|エミュレーターから操作されていた場合に検知
WhiteCaulisCookieInOtherSites|All|端末が他サイトでホワイトリスト登録済みである場合に検知
WhiteCaulisCookieInThisSite|All|端末が自サイトでホワイトリスト登録済みである場合に検知
WhiteDestinationBankAccountInOtherSites|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでホワイトリスト登録済みである場合に検知
WhiteDestinationBankAccountInThisSite|{Deposit|送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでホワイトリスト登録済みである場合に検知
WhiteIPAddressInOtherSites|All|IPアドレスが他サイトでホワイトリスト登録済みである場合に検知
WhiteIPAddressInThisSite|All|IPアドレスが自サイトでホワイトリスト登録済みである場合に検知
WhiteRemitterAndRemitteeBankAccountInOtherSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが他サイトでホワイトリスト登録済みである場合に検知
WhiteRemitterAndRemitteeBankAccountInThisSite|{Deposit|送金元＋送金先の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）の組み合わせが自サイトでホワイトリスト登録済みである場合に検知
WhiteSourceBankAccountInOtherSites|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が他サイトでホワイトリスト登録済みである場合に検知
WhiteSourceBankAccountInThisSite|{Deposit|送金元の口座情報（銀行コード＋支店コード＋口座種別＋口座番号）が自サイトでホワイトリスト登録済みである場合に検知
WhiteUserHashInOtherSites|All|ユーザーハッシュが他サイトでホワイトリスト登録済みである場合に検知
WhiteUserHashInThisSite|All|ユーザーハッシュが自サイトでホワイトリスト登録済みである場合に検知
WithdrawalOfMostBalance|Withdrawal|送金前の金額の90％を超えるの場合に検知
